time,action,isGCD,castTime
-1.3339999999999996,Meikyo Shisui,0,0
0.01600000000001245,Tendo Setsugekka,1,1.3
2.5110000000000063,Gekko,1,0
3.224000000000011,Hissatsu: Senei,0,0
3.8940000000000126,Shoha,0,0
4.986000000000011,Higanbana,1,1.3
6.398500000000013,Hissatsu: Shinten,0,0
7.461000000000013,Kasha,1,0
8.129000000000016,Hissatsu: Shinten,0,0
8.840000000000014,Ikishoten,0,0
9.936000000000018,Gekko,1,0
10.616000000000014,Hissatsu: Shinten,0,0
11.286000000000008,Feint,0,0
12.079750000000011,Tendo Kaeshi Setsugekka,1,0
12.629750000000008,Tengentsu,0,0
13.179750000000006,Zanshin,0,0
14.223500000000016,Ogi Namikiri,1,1.3
15.636000000000017,Pop Tengentsu,0,0
16.367250000000013,Kaeshi: Namikiri,1,0
16.917250000000017,Hissatsu: Shinten,0,0
18.511000000000017,Gyofu,1,0
20.65475000000002,Yukikaze,1,0
21.20475000000002,Hissatsu: Shinten,0,0
22.798500000000026,Midare Setsugekka,1,1.3
24.21100000000002,Shoha,0,0
24.942250000000016,Kaeshi: Setsugekka,1,0
27.086000000000013,Gyofu,1,0
29.22975000000001,Yukikaze,1,0
29.779750000000007,Meikyo Shisui,0,0
31.373500000000014,Gekko,1,0
31.92350000000001,Hissatsu: Shinten,0,0
33.51725000000002,Kasha,1,0
35.661000000000016,Tendo Setsugekka,1,1.3
37.804750000000006,Kasha,1,0
38.35475,Tengentsu,0,0
39.94850000000001,Gyofu,1,0
40.498500000000014,Pop Tengentsu,0,0
40.50850000000001,Hissatsu: Shinten,0,0
42.09225000000001,Jinpu,1,0
44.236000000000004,Gekko,1,0
44.786,Hissatsu: Shinten,0,0
46.37974999999999,Tendo Kaeshi Setsugekka,1,0
48.5235,Gyofu,1,0
50.667249999999996,Yukikaze,1,0
51.21724999999999,Hissatsu: Shinten,0,0
52.81099999999998,Midare Setsugekka,1,1.3
54.95474999999996,Gyofu,1,0
57.09849999999996,Yukikaze,1,0
57.648499999999956,Tengentsu,0,0
58.19849999999995,Pop Tengentsu,0,0
59.242249999999956,Higanbana,1,1.3
60.654749999999964,Shoha,0,0
61.38599999999995,Gyofu,1,0
63.52974999999995,Jinpu,1,0
64.07974999999995,Hissatsu: Senei,0,0
65.67349999999995,Gekko,1,0
67.81724999999993,Gyofu,1,0
68.36724999999993,Hissatsu: Shinten,0,0
69.96099999999991,Shifu,1,0
70.51099999999991,True North,0,0
72.10474999999991,Kasha,1,0
74.2484999999999,Gyofu,1,0
74.79849999999989,Hissatsu: Shinten,0,0
76.39224999999988,Kaeshi: Setsugekka,1,0
78.53599999999986,Yukikaze,1,0
80.67974999999987,Midare Setsugekka,1,1.3
82.82349999999985,Gyofu,1,0
84.96724999999984,Yukikaze,1,0
87.11099999999983,Gyofu,1,0
89.25474999999983,Jinpu,1,0
91.39849999999983,Gekko,1,0
91.94849999999983,Meikyo Shisui,0,0
93.54224999999983,Kaeshi: Setsugekka,1,0
94.09224999999982,Hissatsu: Gyoten,0,0
95.68599999999981,Kasha,1,0
97.82974999999979,Tendo Setsugekka,1,1.3
99.97349999999982,Kasha,1,0
102.11724999999981,Gekko,1,0
104.26099999999983,Gyofu,1,0
106.40474999999982,Yukikaze,1,0
108.54849999999985,Gyofu,1,0
109.09849999999983,Tincture,0,0
110.69224999999986,Tendo Kaeshi Setsugekka,1,0
111.24224999999987,Hissatsu: Shinten,0,0
112.83599999999984,Midare Setsugekka,1,1.3
114.24849999999986,Shoha,0,0
114.97974999999985,Yukikaze,1,0
115.52974999999986,Hissatsu: Shinten,0,0
117.1234999999999,Higanbana,1,1.3
118.53599999999992,Hissatsu: Shinten,0,0
119.2672499999999,Gyofu,1,0
119.81724999999992,Hissatsu: Shinten,0,0
121.41099999999992,Yukikaze,1,0
121.96099999999993,Sprint,0,0
122.51099999999994,Meikyo Shisui,0,0
123.55474999999996,Kasha,1,0
124.10474999999994,Hissatsu: Shinten,0,0
125.69849999999991,Gekko,1,0
126.24849999999992,Tengentsu,0,0
126.79849999999993,Pop Tengentsu,0,0
127.84224999999992,Kaeshi: Setsugekka,1,0
129.9859999999999,Tendo Setsugekka,1,1.3
131.3984999999999,Ikishoten,0,0
132.1297499999999,Tendo Kaeshi Setsugekka,1,0
132.6797499999999,Hissatsu: Senei,0,0
133.22974999999988,Zanshin,0,0
134.2734999999999,Ogi Namikiri,1,1.3
135.68599999999992,Shoha,0,0
136.41724999999997,Kaeshi: Namikiri,1,0
136.96724999999995,True North,0,0
138.56099999999998,Gekko,1,0
139.11099999999996,Hissatsu: Shinten,0,0
140.70474999999996,Gyofu,1,0
142.84849999999997,Shifu,1,0
144.99224999999998,Kasha,1,0
147.13599999999997,Gyofu,1,0
147.68599999999995,Hissatsu: Shinten,0,0
149.27974999999992,Yukikaze,1,0
151.4234999999999,Midare Setsugekka,1,1.3
153.56724999999992,Gyofu,1,0
155.7109999999999,Shifu,1,0
156.2609999999999,Tengentsu,0,0
156.81099999999992,Pop Tengentsu,0,0
157.8547499999999,Kasha,1,0
158.4047499999999,Hissatsu: Shinten,0,0
159.99849999999986,Gyofu,1,0
162.14224999999988,Yukikaze,1,0
164.28599999999992,Gyofu,1,0
164.83599999999993,Hissatsu: Shinten,0,0
166.42974999999993,Jinpu,1,0
168.5734999999999,Kaeshi: Setsugekka,1,0
169.12349999999992,True North,0,0
170.7172499999999,Gekko,1,0
172.86099999999988,Midare Setsugekka,1,1.3
175.0047499999999,Gyofu,1,0
177.1484999999999,Yukikaze,1,0
177.6984999999999,Hissatsu: Shinten,0,0
